seed,epoch,train_relative_l2,validation_relative_l2
81,1,0.4035707712173462,0.4496335983276367
81,5,0.39329349994659424,0.4389260709285736
81,10,0.37906479835510254,0.4234796166419983
81,15,0.35358983278274536,0.39355283975601196
81,20,0.3152465224266052,0.3536897897720337
81,25,0.2898746728897095,0.33585771918296814
81,30,0.2897077798843384,0.3228152096271515
81,35,0.2737206220626831,0.310571551322937
81,40,0.2687002122402191,0.303425669670105
81,45,0.26321685314178467,0.29041701555252075
81,50,0.2606007158756256,0.2794031798839569
81,55,0.2535291910171509,0.27295982837677
81,60,0.2502683103084564,0.2677845358848572
81,65,0.2484697699546814,0.2635401785373688
81,70,0.2433449923992157,0.2621299624443054
81,75,0.23975735902786255,0.25944653153419495
81,80,0.23474107682704926,0.25581490993499756
82,1,0.4035707712173462,0.4503057301044464
82,5,0.3957268297672272,0.4421719014644623
82,10,0.38532817363739014,0.4309746325016022
82,15,0.363359659910202,0.4058845043182373
82,20,0.33013808727264404,0.37061676383018494
82,25,0.3099997937679291,0.3588098883628845
82,30,0.30344635248184204,0.34143102169036865
82,35,0.2874666452407837,0.32600414752960205
82,40,0.2808571457862854,0.3184504210948944
82,45,0.27583950757980347,0.30818045139312744
82,50,0.27185720205307007,0.29812338948249817
82,55,0.2634927034378052,0.2891594469547272
82,60,0.2566472589969635,0.27968496084213257
82,65,0.2517761290073395,0.26972487568855286
82,70,0.24459761381149292,0.2636198401451111
82,75,0.2394006997346878,0.25721248984336853
82,80,0.23473045229911804,0.25321245193481445
83,1,0.4035707712173462,0.4494105875492096
83,5,0.3935093283653259,0.44033515453338623
83,10,0.3837331235408783,0.42808935046195984
83,15,0.36448055505752563,0.4073658287525177
83,20,0.3404138386249542,0.38069555163383484
83,25,0.3109268546104431,0.3550492525100708
83,30,0.3002704977989197,0.3418757915496826
83,35,0.28980839252471924,0.3273208439350128
83,40,0.2774709463119507,0.3199149966239929
83,45,0.2718998193740845,0.3117522895336151
83,50,0.2649727165699005,0.30016276240348816
83,55,0.259496808052063,0.2852925658226013
83,60,0.2521493136882782,0.2726408541202545
83,65,0.24613428115844727,0.2617630660533905
83,70,0.24086835980415344,0.2531641125679016
83,75,0.23439399898052216,0.24787351489067078
83,80,0.2291010171175003,0.24159850180149078
