source_split,geometry_id,candidate,comparator,source_field_count,mean_field_gain_pct,minimum_field_gain_pct,positive_field_fraction,harm_rate_gt_1pct,mean_audit_gain_pct
test_family_ood,g_100011111,fno_pbb_wide,fno_geometry,32,15.350682997991907,9.299632610604833,1.0,0.0,19.11234367007891
test_family_ood,g_110001111,fno_pbb_wide,fno_geometry,32,13.688498986747021,10.010678393668863,1.0,0.0,16.549317759397344
test_family_ood,g_111000111,fno_pbb_wide,fno_geometry,32,12.973567050100453,6.465082158743644,1.0,0.0,17.5148199325638
test_family_ood,g_111010011,fno_pbb_wide,fno_geometry,32,17.80668502571764,11.571764953557429,1.0,0.0,20.578755480192186
test_iid,g_010011111,fno_pbb_wide,fno_geometry,32,-0.03710592186583894,-22.74660184119554,0.59375,0.40625,7.5711244470573345
test_iid,g_011011101,fno_pbb_wide,fno_geometry,32,-4.115284508045725,-27.380760116519905,0.40625,0.53125,1.46518137053023
test_iid,g_111001101,fno_pbb_wide,fno_geometry,32,6.377480409855579,-13.635195341070576,0.78125,0.21875,15.109134480019545
test_iid,g_111011010,fno_pbb_wide,fno_geometry,32,0.9640322657136984,-21.215525667420795,0.5625,0.375,4.888448068049017
test_joint_ood,g_100011111,fno_pbb_wide,fno_geometry,32,12.930497911289944,7.0719389886906665,1.0,0.0,17.699836081888137
test_joint_ood,g_110001111,fno_pbb_wide,fno_geometry,32,11.125556005353022,5.696269213743298,1.0,0.0,14.363767047842051
test_joint_ood,g_111000111,fno_pbb_wide,fno_geometry,32,10.635150803636261,5.313768523541857,1.0,0.0,15.954733414441076
test_joint_ood,g_111010011,fno_pbb_wide,fno_geometry,32,14.879378275663967,8.434410432557636,1.0,0.0,18.60015925447714
test_noise_ood,g_010011111,fno_pbb_wide,fno_geometry,32,-12.630978329853857,-29.149302062134552,0.15625,0.8125,-0.08595967256112136
test_noise_ood,g_011011101,fno_pbb_wide,fno_geometry,32,-16.429270347005737,-29.78674266414119,0.125,0.84375,-11.675161223297675
test_noise_ood,g_111001101,fno_pbb_wide,fno_geometry,32,-5.885498766780325,-25.93357788733352,0.375,0.59375,5.167193737318874
test_noise_ood,g_111011010,fno_pbb_wide,fno_geometry,32,-13.7725013594977,-35.29212866467468,0.34375,0.65625,-10.058418128371557
val,g_011010111,fno_pbb_wide,fno_geometry,40,-1.4963624386038803,-28.06966459196736,0.425,0.55,0.6471325732334152
val,g_101011110,fno_pbb_wide,fno_geometry,40,-2.6122568361782164,-24.65756535186005,0.475,0.525,1.5240593238784266
val,g_111001110,fno_pbb_wide,fno_geometry,40,5.011869276696563,-14.363130846649055,0.775,0.225,13.53494065499351
val,g_111010110,fno_pbb_wide,fno_geometry,40,1.58784086028164,-23.872005500421917,0.575,0.375,5.643992241215845
