rig_id,block_id,true_aperture_radius,metadata_aperture_radius,candidate_aperture_radius,whitened_sse_score,ridge_penalty_score,data_score,metadata_penalty,total_score,selected_shared_without_metadata,selected_shared_sse_only,selected_rigcal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,289.6851662528219,60.7056764951771,350.39084274799893,0.17400816326530608,350.5648509112642,False,False,False
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.04,284.308546355999,61.39299714986136,345.7015435058604,0.03555918367346937,345.73710268953386,True,True,True
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.08,288.0456563073913,63.7392878252185,351.7849441326098,0.0016000000000000025,351.7865441326098,False,False,False
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.12,301.2971624548433,71.3855074352278,372.6826698900711,0.07213061224489795,372.754800502316,False,False,False
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.16,366.40187219983636,89.3433369781983,455.74520917803466,0.24715102040816328,455.99236019844284,False,False,False
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.0,300.84603366424017,61.22347775262946,362.0695114168696,0.4169469387755101,362.48645835564514,False,False,False
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.04,291.8948246346191,60.854634526854475,352.74945916147357,0.17400816326530613,352.92346732473885,False,False,False
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.08,289.428837552594,61.55968512972645,350.9885226823204,0.035559183673469386,351.0240818659939,True,True,True
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.12,292.13407804979596,65.92009661201413,358.05417466181007,0.0015999999999999962,358.05577466181006,False,False,False
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.16,332.8788136373228,80.04249071191843,412.92130434924127,0.07213061224489795,412.9934349614862,False,False,False
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.0,333.4766725752471,63.9223825311329,397.39905510638005,0.7643755102040816,398.16343061658415,False,False,False
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.04,318.5589362310103,62.76091188854371,381.31984811955397,0.41694693877551,381.73679505832945,False,False,False
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.08,308.0146953467781,62.0695957476572,370.08429109443534,0.17400816326530608,370.2582992577006,False,False,False
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.12,297.45809656119025,62.3336467814225,359.79174334261273,0.035559183673469386,359.8273025262862,True,True,True
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.16,300.70143709201244,68.09500727396514,368.79644436597755,0.0016000000000000025,368.79804436597755,False,False,False
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.0,274.7668518967696,60.25828192373104,335.0251338205007,0.05488979591836733,335.08002361641906,False,False,False
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.04,271.2620947019327,62.2086740167652,333.4707687186979,3.265306122448985e-05,333.47080137175914,True,True,True
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.08,280.50357663805465,66.97921141939642,347.4827880574511,0.04966530612244896,347.53245336357355,False,False,False
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.12,307.31377361098635,73.2404472404177,380.554220851404,0.20378775510204072,380.75800860650605,False,False,False
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.16,359.1931423420937,86.3226965984764,445.5158389405702,0.46239999999999987,445.9782389405702,False,False,False
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.0,282.927666792909,58.05074589432286,340.97841268723187,0.21423673469387752,341.19264942192575,False,False,False
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.04,272.72414755932743,58.98937881920661,331.7135263785341,0.05488979591836733,331.76841617445245,True,True,True
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.08,272.7478716416956,62.500283887178476,335.248155528874,3.265306122448985e-05,335.24818818193523,False,False,False
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.12,285.314884761197,67.3187138309978,352.63359859219474,0.049665306122448946,352.6832638983172,False,False,False
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.16,318.54952162226283,77.95512195900733,396.50464358127016,0.20378775510204084,396.7084313363722,False,False,False
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.0,307.61799165752745,56.44655963093679,364.06455128846426,0.4780734693877552,364.542624757852,False,False,False
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.04,290.0577873583113,56.75489298864557,346.8126803469569,0.21423673469387758,347.02691708165077,False,False,False
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.08,281.17311688116877,58.93400825381036,340.1071251349791,0.05488979591836736,340.1620149308975,True,False,True
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.12,279.78905106133584,61.8007499251578,341.58980098649363,3.2653061224490756e-05,341.58983363955485,False,True,False
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.16,289.6618669836514,69.46835627921317,359.1302232628646,0.049665306122448946,359.17988856898705,False,False,False
