rig_id,block_id,true_aperture_radius,metadata_aperture_radius,candidate_aperture_radius,data_score,metadata_penalty,total_score,selected_shared_without_metadata,selected_rigcal
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.0,35.955469816968154,0.17400816326530608,36.12947798023346,True,True
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.04,37.28929891000425,0.03555918367346937,37.32485809367772,False,False
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.08,39.40498995568976,0.0016000000000000025,39.40658995568976,False,False
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.12,42.9848811729887,0.07213061224489795,43.0570117852336,False,False
development_rig_a,development_rig_a:radius=0.05500,0.055,0.073,0.16,49.79437702531444,0.24715102040816328,50.0415280457226,False,False
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.0,34.06798370740634,0.4169469387755101,34.48493064618185,True,True
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.04,35.27338093981973,0.17400816326530613,35.44738910308504,False,False
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.08,37.094523495581,0.035559183673469386,37.13008267925447,False,False
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.12,40.142092408316614,0.0015999999999999962,40.14369240831662,False,False
development_rig_a,development_rig_a:radius=0.09500,0.095,0.113,0.16,45.88131750503112,0.07213061224489795,45.95344811727602,False,False
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.0,32.05894650409934,0.7643755102040816,32.82332201430342,True,True
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.04,33.188102155817745,0.41694693877551,33.605049094593255,False,False
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.08,34.716773537673895,0.17400816326530608,34.8907817009392,False,False
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.12,37.240788203665375,0.035559183673469386,37.276347387338845,False,False
development_rig_a,development_rig_a:radius=0.13500,0.135,0.153,0.16,42.016935289685,0.0016000000000000025,42.018535289685005,False,False
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.0,32.13632327760356,0.05488979591836733,32.19121307352193,True,True
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.04,33.64523084608513,3.265306122448985e-05,33.64526349914635,False,False
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.08,35.933016884926715,0.04966530612244896,35.982682191049165,False,False
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.12,38.66619365315657,0.20378775510204072,38.86998140825861,False,False
development_rig_b,development_rig_b:radius=0.05500,0.055,0.041,0.16,43.888273907537695,0.46239999999999987,44.3506739075377,False,False
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.0,30.72455809225611,0.21423673469387752,30.938794826949987,True,True
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.04,32.25957930792477,0.05488979591836733,32.31446910384314,False,False
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.08,34.43911650766567,3.265306122448985e-05,34.4391491607269,False,False
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.12,36.69205928588641,0.049665306122448946,36.74172459200886,False,False
development_rig_b,development_rig_b:radius=0.09500,0.095,0.081,0.16,41.12758498501951,0.20378775510204084,41.33137274012155,False,False
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.0,29.00534959554756,0.4780734693877552,29.483423064935316,True,True
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.04,30.468479447014822,0.21423673469387758,30.6827161817087,False,False
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.08,32.4868036168867,0.05488979591836736,32.54169341280507,False,False
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.12,34.309331148093364,3.2653061224490756e-05,34.30936380115459,False,False
development_rig_b,development_rig_b:radius=0.13500,0.135,0.12100000000000001,0.16,37.9695836235497,0.049665306122448946,38.01924892967215,False,False
