rig_id,renderer_gap_fraction_of_total_norm,parameter_gap_fraction_of_total_norm,renderer_parameter_gap_cosine,maximum_absolute_parameter_offset
dco-rig-030,0.8687500610293483,0.47841212560410973,0.019723722769710038,1.528207756813405
dco-rig-031,0.9432631093746219,0.5345501613658434,-0.1740199365316181,2.006914404495838
dco-rig-032,0.9121259713769809,0.38565555299044135,0.027427298727294474,1.1388699683805896
dco-rig-033,0.9423181318660794,0.4082532773827663,-0.07100801395946824,1.3956245614953389
dco-rig-034,0.9638733475141895,0.3758216837343355,-0.09702530634037136,1.4720451000353307
dco-rig-035,0.7971965632244082,0.5587335303831852,0.058702380624458116,1.975948108936933
dco-rig-036,0.928822474431912,0.5397794551657114,-0.1536553251824084,1.4245517609845137
dco-rig-037,0.8895388837480719,0.4338487237928963,0.02655417856789219,1.4805075501806257
dco-rig-038,0.950077772142019,0.4731281000370027,-0.14070698844795562,1.6411316783274117
dco-rig-039,0.8665801956413045,0.4347736523884709,0.07963908367862443,1.3699882540759205
dco-rig-040,0.9782139490033296,0.40607021913772307,-0.15330857408529863,1.493676535794151
dco-rig-041,0.8952483038785822,0.5768571180423194,-0.12996298391647132,1.897742614026555
